"X","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","deer_density","dist_dev_m"
101,418,0,4708647,243,158,1,0,57,0.3,0,0,36,64,0,1.9,1000
102,425,73.14049587,4711782,303,306,1,0,0,27,0,0,45,28,0,1.9,1000
104,432,29.23553719,4702237,256,63,0,0,351,0,95,0,0,0.3,0,1.2,1000
106,437,8.780991736,4703941,284,199,1,0,178,0,0,0,55,6,0,4.8,1000
107,440,0,4700613,259,93,0,0,254,0,18,13,0.8,0,0,1.2,1000
108,442,5.371900826,4699340,161,20,0,1,445,0,1,0,61,18,0,1.2,1000
109,443,28.61570248,4699689,308,362,1,0,382,0,0,10,84,1,0,1.2,1000
110,444,53.30578512,4697213,253,109,0,1,60,0,67,0,0,13,59.7,1.2,637
112,449,45.55785124,4706448,271,630,1,1,520,0,0,27,28,38,48.9,4.8,714
113,452,48.86363636,4709801,166,161,0,20,16,15,0,50,0,21,0,1.9,109
115,455,107.231405,4696492,268,310,0,4,155,0,77,0.1,0.2,0,161.3,1.2,414
118,465,0,4695212,180,190,0,0,29,51,0,0,48,0,84.2,4.7,1000
122,477,44.73140496,4704174,293,323,0,3,293,0,37,0.7,0,0,83,1.9,313
123,480,39.5661157,4691948,241,67,0,1,87,0,65,0.06,0,2,18.3,3,779
124,481,10.74380165,4693448,226,195,0,0,0,93,0,5,0,0,63.2,3,1000
127,484,39.87603306,4697674,241,307,0,3,270,0.09,0,11,2,69,63.1,3,1000
129,487,6.508264463,4707849,176,161,0,0,111,0,2,34,4,59,0,1.9,1000
131,489,0,4705689,198,120,0,1,56,0,50,0,0,1,0,1.9,1000
132,490,0,4704337,268,196,0,0,137,0,99,0,0,0.6,0,1.9,240
133,491,0,4703162,268,115,0,0,240,0,100,0,0,0,60.4,1.2,711
134,492,23.55371901,4699754,291,202,0,0,435,0,45,8,0,0,0,1.2,1000
135,493,60.95041322,4700042,300,233,0,0,79,0,98,0,0,1,0,1.2,1000
136,494,6.508264463,4691367,222,5,0,0,92,0.2,42,0,0,5,0,3,1000
141,513,39.04958678,4700470,171,51,0,34,28,0,1,17,12,23,94,4.8,1000
145,522,39.15289256,4699351,302,202,0,2,197,0,0,8,84,3,67.7,3,1000
147,526,9.917355372,4695713,353,451,0,12,276,0,0,7,48,4,0,3,97
148,533,67.56198347,4693594,246,121,0,0,1078,0,0,34,24,21,89.9,4.7,925
151,536,79.23553719,4693145,328,49,0,0,0,0,0,64,2,20,181.1,3,795
155,540,70.24793388,4694935,314,160,0,0,0,0,0,12,0.6,66,133.6,3,895
156,541,143.1818182,4694243,333,145,0,10,0,0,0,22,0,9,133.6,3,359
